Ich mache Urlaub,I'm on vacation,
Ich bin auf Geschäftsreise,I'm on business,
Ich reise nach,I'm going to,
Ich übernachte im ... Hotel,I'm staying at the ... Hotel, 
Ich bin auf der Durchreise,I'm just passing through,
Ich möchte ... verzollen,I'd like to declare...,
Ich habe nichts zu verzollen,I have nothing to declare,
Ihren Reisepass,Your passport,
Was is der Grund Ihrer Reise?,What's the purpose of your visit?,
Wo übernachten Sie?,Where are you staying?,
Wie lange bleiben Sie?,How long are you staying,
Mit wem reise Sie?,Who are you traveling with?,
